Date,AE,Rolling_Avg_6M,MoM_Growth_%,YoY_Growth_%
2010-09-01,1150728.0,,,
2010-10-01,1163143.0,,1.0788822380267016,
2010-11-01,1111294.5714285714,,-4.457614289165535,
2010-12-01,1159203.8571428563,,4.311123886144563,
2011-01-01,1133880.571428571,,-2.184541188182454,
2011-02-01,1053707.1428571425,1128659.5238095236,-7.070711906670935,
2011-03-01,1225221.9999999993,1141075.19047619,16.27727953687319,
2011-04-01,1197212.7142857148,1146753.476190476,-2.286058013509762,
2011-05-01,1221687.4285714289,1165152.2857142854,2.044307915683663,
2011-06-01,1168467.857142857,1166696.2857142854,-4.3562346786856665,
2011-07-01,1211065.8571428566,1179560.4999999998,3.6456287384883934,
2011-08-01,1135801.4285714286,1193242.8809523808,-6.214726319590214,
2011-09-01,1162142.857142857,1182729.6904761905,2.319193118515428,0.9919683142199487
2011-10-01,1200707.8571428573,1183312.2142857143,3.318438844499094,3.22959921031698
2011-11-01,1134959.4285714277,1168857.5476190473,-5.475805640839326,2.1294855343741315
2011-12-01,1141606.4285714282,1164380.6428571425,0.5856597013663256,-1.5180615957232413
2012-01-01,1137915.5714285711,1152188.9285714282,-0.3233038156132073,0.3558575833887412
2012-02-01,1120423.0000000002,1149625.857142857,-1.5372468632809277,6.331536954561834
2012-03-01,1263082.2857142864,1166449.0952380951,12.73262738396892,3.090075571144424
2012-04-01,1149633.714285714,1157936.7380952379,-8.981882867941248,-3.9741475706251084
2012-05-01,1251414.285714286,1177345.880952381,8.853304331963653,2.433262096968436
2012-06-01,1222084.2857142854,1190758.8571428573,-2.343748216303876,4.5886096261587905
2012-07-01,1248953.285714286,1209265.142857143,2.1986208573409494,3.1284366864088753
2012-08-01,1197383.8571428573,1222091.9523809524,-4.129011802225713,5.421936178481901
2012-09-01,1178360.714285714,1207971.6904761905,-1.588725515519751,1.3955132145052174
2012-10-01,1214433.4285714284,1218771.642857143,3.0612624681382483,1.1431233123794016
2012-11-01,1167908.0000000002,1204853.9285714284,-3.8310398476232077,2.903061607236901
2012-12-01,1202080.2857142861,1201519.9285714286,2.925939861212168,5.297259688571754
2013-01-01,1149837.1428571434,1185000.5714285716,-4.34606103086529,1.0476674832391675
2013-02-01,1085332.7142857139,1166325.380952381,-5.609875187293689,-3.1318783811369766
2013-03-01,1226196.4285714282,1174298.0,12.978850856662927,-2.92030515826599
2013-04-01,1199089.1428571427,1171740.6190476192,-2.2106805306770116,4.30184222651786
2013-05-01,1229747.4285714282,1182047.1904761905,2.556797874195915,-1.7313896277355245
2013-06-01,1191352.4285714286,1180259.2142857143,-3.12218583328141,-2.5147084781386053
2013-07-01,1281699.8571428573,1202236.333333333,7.583602165462144,2.621921236216873
2013-08-01,1189671.428571429,1219626.1190476192,-7.180185599503486,-0.6441066100415949
2013-09-01,1156569.1428571425,1208021.5714285714,-2.782472951715431,-1.8493124528324856
2013-10-01,1199258.5714285714,1208049.8095238095,3.6910399032409336,-1.2495421145239383
2013-11-01,1139112.1428571423,1192943.9285714284,-5.015301120573357,-2.465592935647154
2013-12-01,1172011.1428571427,1189720.3809523808,2.888126529621804,-2.5014255049758294
2014-01-01,1142283.5714285716,1166484.3333333333,-2.5364580882824117,-0.6569253285558796
2014-02-01,1084743.7142857143,1148996.3809523808,-5.037265577661798,-0.05426907272275683
2014-03-01,1269436.142857143,1167807.5476190476,17.026365411395396,3.526328512968435
